listing_id,date
7.37574E+17,26-02-2023
25549565,26-02-2023
48124042,26-02-2023
7.3588E+17,26-02-2023
52611613,26-02-2023
47440071,26-02-2023
5.93272E+17,26-02-2023
53645427,26-02-2023
6.34108E+17,26-02-2023
54126420,26-02-2023
7.88301E+17,26-02-2023
7.86316E+17,26-02-2023
54126421,26-02-2023
52863776,26-02-2023
6.28163E+17,26-02-2023
7.57978E+17,26-02-2023
54128829,26-02-2023
7.84781E+17,26-02-2023
54150131,26-02-2023
8.16085E+17,26-02-2023
43736299,26-02-2023
9501054,26-02-2023
6.17242E+17,26-02-2023
53312101,26-02-2023
53567589,26-02-2023
35914565,26-02-2023
44180048,26-02-2023
6.54303E+17,26-02-2023
33558235,26-02-2023
28868857,26-02-2023
7.87024E+17,27-02-2023
53860077,27-02-2023
7.51421E+17,27-02-2023
50211226,27-02-2023
16531782,27-02-2023
42092736,27-02-2023
48470454,28-02-2023
28868857,28-02-2023
51230498,28-02-2023
53567589,28-02-2023
50639032,28-02-2023
25549565,28-02-2023
45529447,28-02-2023
13083497,28-02-2023
47408047,28-02-2023
48599533,01-03-2023
28868857,01-03-2023
52241973,01-03-2023
54128829,01-03-2023
6.89719E+17,01-03-2023
6.68608E+17,01-03-2023
51230498,01-03-2023
52611613,01-03-2023
42009788,01-03-2023
48124042,01-03-2023
8.16085E+17,01-03-2023
50171851,01-03-2023
45313545,01-03-2023
16531782,02-03-2023
6.67645E+17,02-03-2023
52863776,02-03-2023
5.93272E+17,02-03-2023
10768745,03-03-2023
47440071,03-03-2023
51954621,03-03-2023
47943571,03-03-2023
7.74701E+17,03-03-2023
42092736,03-03-2023
54128829,04-03-2023
34330970,04-03-2023
6.92808E+17,04-03-2023
6.68608E+17,04-03-2023
54150131,04-03-2023
6.68608E+17,04-03-2023
16531782,04-03-2023
7.57978E+17,04-03-2023
6.17242E+17,05-03-2023
6.68608E+17,05-03-2023
46894493,05-03-2023
5.93272E+17,05-03-2023
7.39723E+17,05-03-2023
47440071,05-03-2023
45529316,05-03-2023
52152157,05-03-2023
7.88301E+17,05-03-2023
6.34108E+17,05-03-2023
16531782,05-03-2023
35914565,05-03-2023
7.17373E+17,05-03-2023
7.86316E+17,06-03-2023
28722270,06-03-2023
43736299,06-03-2023
6.89719E+17,06-03-2023
35793179,06-03-2023
48599533,06-03-2023
5651579,06-03-2023
47408047,06-03-2023
25549565,07-03-2023
48124042,07-03-2023
45529447,07-03-2023
47943571,07-03-2023
8.21566E+17,07-03-2023
8.26302E+17,07-03-2023
54128829,07-03-2023
7.74701E+17,07-03-2023
44180048,08-03-2023
52241973,08-03-2023
5.93272E+17,08-03-2023
6.92808E+17,08-03-2023
48124042,08-03-2023
51230498,08-03-2023
8.21566E+17,09-03-2023
6.77623E+17,09-03-2023
6.68608E+17,09-03-2023
32993402,09-03-2023
51579900,09-03-2023
50171851,09-03-2023
53567589,09-03-2023
52241973,09-03-2023
32279028,09-03-2023
6.89719E+17,09-03-2023
35793179,09-03-2023
45529447,09-03-2023
53645427,09-03-2023
16531782,10-03-2023
53483727,10-03-2023
42092736,10-03-2023
9501054,10-03-2023
33558235,10-03-2023
6.67645E+17,10-03-2023
25549565,10-03-2023
19527043,11-03-2023
8.26302E+17,11-03-2023
53567589,11-03-2023
20633175,11-03-2023
6.17242E+17,11-03-2023
5.81058E+17,11-03-2023
